06-24  10:37:18 : I - R: Connected
06-24  10:37:33 : I - R: Connected
06-24  10:37:48 : I - R: Connected
06-24  10:38:03 : I - R: Connected
06-24  10:38:18 : I - R: Connected
06-24  10:38:33 : I - R: Connected
06-24  10:38:48 : I - R: Connected
06-24  10:39:03 : I - R: Connected
06-24  10:39:18 : I - R: Connected
06-24  10:39:33 : I - R: Connected
06-24  10:39:48 : I - R: Connected
06-24  10:40:03 : I - R: Connected
06-24  10:40:18 : I - R: Connected
06-24  10:40:33 : I - R: Connected
06-24  10:40:48 : I - R: Connected
06-24  10:41:03 : I - R: Connected
06-24  10:41:18 : I - R: Connected
06-24  10:41:33 : I - R: Connected
06-24  10:41:48 : I - R: Connected
06-24  10:42:03 : I - R: Connected
06-24  10:42:18 : I - R: Connected
06-24  10:42:33 : I - R: Connected
06-24  10:42:48 : I - R: Connected
06-24  10:43:03 : I - R: Connected
06-24  10:43:18 : I - R: Connected
06-24  10:43:33 : I - R: Connected
06-24  10:43:48 : I - R: Connected
06-24  10:44:03 : I - R: Connected
06-24  10:44:18 : I - R: Connected
06-24  10:44:33 : I - R: Connected
06-24  10:44:48 : I - R: Connected
06-24  10:45:03 : I - R: Connected
06-24  10:45:18 : I - R: Connected
06-24  10:45:33 : I - R: Connected
06-24  10:45:48 : I - R: Connected
06-24  10:46:03 : I - R: Connected
06-24  10:46:18 : I - R: Connected
06-24  10:46:33 : I - R: Connected
06-24  10:46:48 : I - R: Connected
06-24  10:47:03 : I - R: Connected
06-24  10:47:18 : I - R: Connected
06-24  10:47:33 : I - R: Connected
06-24  10:47:48 : I - R: Connected
06-24  10:48:03 : I - R: Connected
06-24  10:48:18 : I - R: Connected
06-24  10:48:33 : I - R: Connected
06-24  10:48:48 : I - R: Connected
06-24  10:49:03 : I - R: Connected
06-24  10:49:18 : I - R: Connected
06-24  10:49:33 : I - R: Connected
06-24  10:49:48 : I - R: Connected
06-24  10:50:03 : I - R: Connected
06-24  10:50:18 : I - R: Connected
06-24  10:50:33 : I - R: Connected
06-24  10:50:48 : I - R: Connected
06-24  10:51:03 : I - R: Connected
06-24  10:51:18 : I - R: Connected
06-24  10:51:33 : I - R: Connected
06-24  10:51:48 : I - R: Connected
06-24  10:52:03 : I - R: Connected
