index,session,leftEnergy,rightEnergy,phoneEnergy,time
1,20150616,0.006,0.006,0.001,1434468783
2,20150616,0.005,0.006,0.001,1434468784
3,20150616,0.005,0.010,0.001,1434468785
4,20150616,0.003,0.004,0.000,1434468786
5,20150616,0.001,0.001,0.000,1434468787
6,20150616,0.004,0.005,0.000,1434468788
7,20150616,0.003,0.005,0.000,1434468789
8,20150616,0.001,0.004,0.000,1434468790
9,20150616,0.001,0.001,0.000,1434468791
10,20150616,0.000,0.002,0.000,1434468792
11,20150616,0.000,0.002,0.000,1434468793
12,20150616,0.001,0.002,0.000,1434468794
13,20150616,0.001,0.001,0.000,1434468795
14,20150616,0.000,0.001,0.000,1434468796
15,20150616,0.001,0.001,0.000,1434468797
16,20150616,0.000,0.002,0.000,1434468798
17,20150616,0.000,0.002,0.000,1434468799
18,20150616,0.001,0.004,0.000,1434468800
19,20150616,0.004,0.006,0.000,1434468801
20,20150616,0.003,0.005,0.000,1434468802
21,20150616,0.001,0.003,0.000,1434468803
22,20150616,0.002,0.001,0.000,1434468804
23,20150616,0.001,0.002,0.000,1434468805
24,20150616,0.001,0.001,0.000,1434468806
25,20150616,0.002,0.002,0.000,1434468807
26,20150616,0.002,0.002,0.000,1434468808
27,20150616,0.002,0.005,0.000,1434468809
28,20150616,0.013,0.020,0.020,1434468810
29,20150616,0.011,0.041,0.048,1434468811
30,20150616,0.025,0.026,0.025,1434468812
31,20150616,0.024,0.029,0.015,1434468813
32,20150616,0.020,0.020,0.016,1434468814
33,20150616,0.015,0.038,0.011,1434468815
34,20150616,0.024,0.029,0.007,1434468816
35,20150616,0.025,0.024,0.004,1434468817
36,20150616,0.027,0.025,0.002,1434468818
37,20150616,0.023,0.020,0.001,1434468819
38,20150616,0.024,0.014,0.001,1434468820
39,20150616,0.013,0.009,0.001,1434468821
40,20150616,0.013,0.010,0.001,1434468822
41,20150616,0.009,0.004,0.000,1434468823
42,20150616,0.007,0.007,0.000,1434468824
43,20150616,0.013,0.011,0.000,1434468825
44,20150616,0.024,0.017,0.001,1434468826
45,20150616,0.009,0.007,0.000,1434468827
46,20150616,0.014,0.008,0.000,1434468828
47,20150616,0.028,0.019,0.001,1434468829
48,20150616,0.007,0.011,0.000,1434468830
49,20150616,0.008,0.015,0.000,1434468831
50,20150616,0.012,0.011,0.000,1434468832
51,20150616,0.005,0.014,0.000,1434468833
52,20150616,0.007,0.017,0.000,1434468834
53,20150616,0.018,0.023,0.001,1434468835
54,20150616,0.010,0.015,0.000,1434468836
55,20150616,0.008,0.008,0.005,1434468837
56,20150616,0.018,0.018,0.024,1434468838
57,20150616,0.015,0.021,0.017,1434468839
58,20150616,0.009,0.011,0.010,1434468840
59,20150616,0.006,0.007,0.006,1434468841
60,20150616,0.009,0.019,0.005,1434468842
61,20150616,0.010,0.013,0.002,1434468843
62,20150616,0.009,0.012,0.001,1434468844
63,20150616,0.004,0.007,0.001,1434468845
64,20150616,0.012,0.019,0.000,1434468846
65,20150616,0.022,0.030,0.000,1434468847
66,20150616,0.024,0.028,0.001,1434468848
67,20150616,0.020,0.013,0.002,1434468849
68,20150616,0.027,0.029,0.000,1434468850
69,20150616,0.020,0.029,0.000,1434468851
70,20150616,0.019,0.014,0.000,1434468852
71,20150616,0.014,0.008,0.000,1434468853
72,20150616,0.010,0.006,0.000,1434468854
73,20150616,0.013,0.010,0.000,1434468855
74,20150616,0.025,0.005,0.000,1434468856
75,20150616,0.014,0.016,0.000,1434468857
76,20150616,0.015,0.012,0.000,1434468858
77,20150616,0.011,0.011,0.000,1434468859
78,20150616,0.010,0.012,0.000,1434468860
79,20150616,0.010,0.014,0.000,1434468861
80,20150616,0.010,0.009,0.000,1434468862
81,20150616,0.006,0.011,0.000,1434468863
82,20150616,0.010,0.006,0.000,1434468864
83,20150616,0.007,0.013,0.000,1434468865
84,20150616,0.006,0.013,0.000,1434468866
85,20150616,0.009,0.010,0.000,1434468867
86,20150616,0.011,0.012,0.001,1434468868
87,20150616,0.026,0.023,0.003,1434468869
88,20150616,0.031,0.033,0.024,1434468870
89,20150616,0.019,0.018,0.012,1434468871
90,20150616,0.023,0.024,0.008,1434468872
91,20150616,0.020,0.019,0.006,1434468873
92,20150616,0.008,0.012,0.004,1434468874
93,20150616,0.011,0.010,0.002,1434468875
94,20150616,0.017,0.020,0.001,1434468876
95,20150616,0.009,0.012,0.001,1434468877
96,20150616,0.011,0.010,0.001,1434468878
97,20150616,0.014,0.015,0.000,1434468879
98,20150616,0.012,0.010,0.000,1434468880
99,20150616,0.009,0.010,0.000,1434468881
100,20150616,0.015,0.018,0.000,1434468882
101,20150616,0.017,0.011,0.000,1434468883
102,20150616,0.008,0.013,0.000,1434468884
103,20150616,0.012,0.011,0.000,1434468885
104,20150616,0.012,0.011,0.000,1434468886
105,20150616,0.008,0.009,0.000,1434468887
106,20150616,0.008,0.015,0.000,1434468888
107,20150616,0.007,0.024,0.000,1434468889
108,20150616,0.005,0.008,0.000,1434468890
109,20150616,0.007,0.015,0.000,1434468891
110,20150616,0.007,0.020,0.001,1434468892
111,20150616,0.008,0.022,0.004,1434468893
112,20150616,0.003,0.010,0.003,1434468894
113,20150616,0.005,0.022,0.002,1434468895
114,20150616,0.032,0.031,0.001,1434468896
115,20150616,0.026,0.028,0.002,1434468897
116,20150616,0.019,0.018,0.001,1434468898
117,20150616,0.016,0.013,0.001,1434468899
118,20150616,0.011,0.015,0.001,1434468900
119,20150616,0.021,0.015,0.001,1434468901
120,20150616,0.014,0.016,0.000,1434468902
121,20150616,0.012,0.015,0.000,1434468903
122,20150616,0.011,0.014,0.000,1434468904
123,20150616,0.009,0.010,0.000,1434468905
124,20150616,0.006,0.010,0.000,1434468906
125,20150616,0.006,0.008,0.000,1434468907
126,20150616,0.008,0.011,0.000,1434468908
127,20150616,0.011,0.011,0.000,1434468909
128,20150616,0.022,0.030,0.000,1434468910
129,20150616,0.025,0.032,0.000,1434468911
130,20150616,0.026,0.022,0.000,1434468912
131,20150616,0.012,0.012,0.000,1434468913
132,20150616,0.007,0.009,0.000,1434468914
133,20150616,0.015,0.017,0.000,1434468915
134,20150616,0.019,0.016,0.000,1434468916
135,20150616,0.006,0.009,0.000,1434468917
136,20150616,0.010,0.012,0.001,1434468918
137,20150616,0.017,0.018,0.000,1434468919
138,20150616,0.014,0.011,0.000,1434468920
139,20150616,0.011,0.011,0.000,1434468921
140,20150616,0.010,0.013,0.001,1434468922
141,20150616,0.009,0.013,0.001,1434468923
142,20150616,0.015,0.005,0.000,1434468924
143,20150616,0.009,0.010,0.000,1434468925
144,20150616,0.005,0.008,0.000,1434468926
145,20150616,0.011,0.019,0.000,1434468927
146,20150616,0.008,0.012,0.000,1434468928
147,20150616,0.009,0.007,0.000,1434468929
148,20150616,0.009,0.013,0.000,1434468930
149,20150616,0.005,0.007,0.000,1434468931
150,20150616,0.006,0.009,0.000,1434468932
151,20150616,0.008,0.012,0.000,1434468933
152,20150616,0.018,0.016,0.000,1434468934
153,20150616,0.031,0.034,0.000,1434468935
154,20150616,0.020,0.021,0.000,1434468936
155,20150616,0.013,0.016,0.000,1434468937
156,20150616,0.011,0.007,0.000,1434468938
157,20150616,0.011,0.009,0.000,1434468939
158,20150616,0.005,0.013,0.000,1434468940
159,20150616,0.006,0.005,0.000,1434468941
160,20150616,0.010,0.010,0.000,1434468942
161,20150616,0.012,0.021,0.000,1434468943
162,20150616,0.014,0.016,0.000,1434468944
163,20150616,0.012,0.010,0.000,1434468945
164,20150616,0.008,0.007,0.000,1434468946
165,20150616,0.008,0.007,0.000,1434468947
166,20150616,0.004,0.009,0.000,1434468948
167,20150616,0.007,0.008,0.000,1434468949
168,20150616,0.009,0.003,0.000,1434468950
169,20150616,0.007,0.010,0.000,1434468951
170,20150616,0.013,0.010,0.000,1434468952
171,20150616,0.026,0.034,0.000,1434468953
172,20150616,0.032,0.042,0.000,1434468954
173,20150616,0.019,0.017,0.000,1434468955
174,20150616,0.007,0.013,0.000,1434468956
175,20150616,0.012,0.010,0.000,1434468957
176,20150616,0.006,0.010,0.000,1434468958
177,20150616,0.016,0.013,0.000,1434468959
178,20150616,0.009,0.012,0.000,1434468960
179,20150616,0.010,0.013,0.000,1434468961
180,20150616,0.004,0.012,0.000,1434468962
181,20150616,0.007,0.014,0.000,1434468963
182,20150616,0.016,0.019,0.000,1434468964
183,20150616,0.011,0.023,0.000,1434468965
184,20150616,0.009,0.019,0.000,1434468966
185,20150616,0.016,0.025,0.000,1434468967
186,20150616,0.010,0.008,0.000,1434468968
187,20150616,0.012,0.013,0.000,1434468969
188,20150616,0.012,0.003,0.000,1434468970
189,20150616,0.011,0.015,0.000,1434468971
